,No,IP,EA,BG,smiles
96,C7176,5.8485174,2.233941,3.6145764,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)cc2C#N
97,C753,5.3122083,2.8692945,2.4429137999999995,c1cc2c(cc1)c1cc3cc4cc5c(ccc6cc(ccc56)C#N)cc4cc3cc1cc2
98,C7175,5.9622552,2.2997892,3.662466,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c(c2)C#N)c2c(cc1)c1c(cccc1)cc2
99,C721,5.3448603,3.0048003000000003,2.34006,c1cc2cc3c(cc2cc1)c1cc2cc4cc5cc(ccc5cc4cc2cc1cc3)C#N
100,C791,5.4596865,2.8554174000000003,2.6042691,c1cc2c(cc1C#N)cc1cc3c(ccc4c3c3ccccc3c3c4cccc3)cc1c2
101,C8153,5.0632368,3.0649344000000003,1.9983024,c1cc2c(cc1)c1cc3cc4cc5cc6c(cc5cc4cc3cc1cc2)c1c(cc(cc1)C#N)cc6
102,C8154,5.036571,3.0194937,2.0170772999999995,c1cc2c(cc1)c1cc3cc4cc5cc6c(cc5cc4cc3cc1cc2)c1c(c(ccc1)C#N)cc6
103,C831,5.0343942,3.2390784000000004,1.7953157999999996,c1cc2c(cc1C#N)cc1cc3cc4cc5c(ccc6c5ccc5c6cccc5)cc4cc3cc1c2
104,C732,5.2531626000000005,3.1171776,2.135985,c1cc2c(cc1)c(c1cc3cc4c(ccc5c4ccc4c5cccc4)cc3cc1c2)C#N
105,C863,5.2153407000000005,2.9482035,2.2671372,c1ccc2cc3cc4c(ccc5c4c4cc6cc7ccccc7cc6cc4cc5C#N)cc3cc2c1
106,C7104,5.6645778,2.5008711000000003,3.1637067,c1cc2cc3c(cc2cc1)c1cc2c(cc1cc3)c1cc3c(cccc3)cc1cc2C#N
107,C81.2,4.7854227,3.2284665,1.5569562,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2
108,C7161,5.8566804,2.4303972,3.4262831999999994,c1cc2c(cc1)c1cc3c(cc1cc2)c1cc2c(cc1cc3)c1c(cccc1)c(c2)C#N
109,C888,5.529072,2.5833174,2.9457546,c1cc2cc3c(cc2cc1)c1c(c(c3)C#N)c2c(cc1)cc1c(ccc3c1ccc1c3cccc1)c2
110,C774,5.3067663000000005,2.5291695,2.7775968,c1cc2c(cc1)cc1cc3c(ccc4c3c(cc3c4c4c(cccc4)cc3)C#N)cc1c2
111,C71.5,5.0316732,3.1743186,1.8573546,c12c(cc3c(c1)c1c(c(c3)C#N)cccc1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
112,C7183,5.9391267,2.2290432000000004,3.710083499999999,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c3ccccc23)c2c(cccc2)cc1C#N
113,C883,5.6229465,2.6464446,2.9765019,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(c(c1)C#N)cc1c(ccc3c1ccc1c3cccc1)c2
114,C8133,5.4316602,2.5392372,2.892423,c1cc2cc3cc4c5ccccc5c5c(ccc6c5c5c(cccc5)cc6C#N)c4cc3cc2cc1
115,C767,5.572608000000001,2.7422238,2.830384200000001,c1cc2c(cc1)cc1cc3c(cc(c4c3cc3ccc5c(cccc5)c3c4)C#N)cc1c2
116,C8112,5.5756011,2.5974666,2.9781345000000004,c1(cc2c(cc1)c1c(cc2)c2cc3cc4c5ccccc5c5ccccc5c4cc3cc2cc1)C#N
117,C7152,5.8749111,2.4557025,3.4192086,c1cc2cc3c(cc2cc1)c1cc2c(cccc2)cc1c1cc2cccc(c2cc31)C#N
118,C71.14,5.0063679,3.1585368000000003,1.8478311,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc1c(c2)c(ccc1)C#N
119,C8152,4.9337172,2.9215377,2.0121795000000007,c1cc2c(cc1)c1cc3cc4cc5cc6c(cc5cc4cc3cc1cc2)c1c(cccc1C#N)cc6
120,C7186,5.939943,2.2619673,3.6779757000000006,c1(cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c3ccccc23)c2c(cccc2)cc1)C#N
121,C81.3,4.8131769,3.2613906,1.5517863,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2
122,C8126,5.7940974,2.225778,3.5683194,c1cc2c(cc1)c1c(c(c2)C#N)c2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cccc2)cc1
123,C832,5.0626926,3.3084639,1.7542287,c1cc2c(cc1)cc1c(c3cc4cc5c(ccc6c5ccc5c6cccc5)cc4cc3cc1c2)C#N
124,C822,5.1203778,3.2534997,1.8668781,c1cc2cc3c(cc2cc1)c(c1cc2cc4c(ccc5c4cc4ccccc4c5)cc2cc1c3)C#N
125,C7192,6.0661974,2.1267336,3.939463800000001,c1cc2c(cc1)c1c(c3c2cccc3)c2c(cc1)c1c(cccc1)c1c2cccc1C#N
126,C726,5.2237758,2.8347378,2.3890380000000007,c1cc2c(c3c(cc2cc1)c1cc2cc4cc5ccccc5cc4cc2cc1cc3)C#N
127,C71.1,4.8643317,2.9759577,1.8883740000000004,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
128,C841,5.2030962,3.0954096,2.1076866,c1cc2cc3c(cc2cc1)c1c(cc3)c2cc3cc4cc5cc(ccc5cc4cc3cc2cc1)C#N
129,C872,5.4705705,2.8336494,2.6369211000000004,c1cc2cc3c(cc2cc1)c1cc2c(cc1cc3)c1c(c3cc4c(cccc4)cc3cc1cc2)C#N
130,C7136,5.6964135,2.6214114,3.0750021000000003,c1cc2c(cc1)cc1c(ccc3c1cc(c1c3cc3c(ccc4ccccc34)c1)C#N)c2
131,C81.1,4.6904598,3.1269732,1.5634866000000005,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2
132,C7134,5.6904273000000005,2.6102553,3.080172,c1(cc2c(cc1)cc1c(ccc3c1ccc1c3cc3c(ccc4ccccc34)c1)c2)C#N
133,C742,5.3987361,2.946843,2.4518931000000004,c1cc2cc3c(cc2cc1)c1c(cc3)c2cc3c(c4ccccc4cc3cc2cc1)C#N
