,No,IP,EA,BG,smiles
101,2N77_2,5.735595900000001,3.4281879,2.307408000000001,c1cc2c(cc1)c1cc3c(N(=O)=O)c4cc5c(ccc6ccccc56)c(N(=O)=O)c4cc3cc1cc2
102,2N77_3,5.588389800000001,3.2349969,2.3533929,c1cc2c(cc1)c1cc3cc4cc5c(c(N(=O)=O)cc6ccccc56)cc4cc3cc1c(N(=O)=O)c2
103,2N77_4,5.7230793,3.3702306,2.3528487,c1cc2c(cc1)c1cc3cc4cc5c(ccc6cc(N(=O)=O)ccc56)cc4cc3c(N(=O)=O)c1cc2
104,2N77_5,5.5881177,3.2096916,2.3784261,c1cc2c(cc1)c1cc3cc4cc5c(ccc6c(N(=O)=O)cccc56)cc4cc3cc1c(N(=O)=O)c2
105,2N77_6,5.6803596,3.3326808000000003,2.3476788,c1cc2c(cc1)c1cc3cc4cc5c(c(N(=O)=O)cc6ccccc56)cc4c(N(=O)=O)c3cc1cc2
106,2N77_7,5.6468913,3.2910495,2.3558418,c1(N(=O)=O)cc2c(cc1)c1cc3cc4cc5c(ccc6c(N(=O)=O)cccc56)cc4cc3cc1cc2
107,2N77_8,5.542677,3.3364902,2.2061868,c1cc2c(cc1)c1cc3cc4cc5c(c(N(=O)=O)cc6c(N(=O)=O)cccc56)cc4cc3cc1cc2
108,2N77_9,5.6849853,3.3400275,2.3449578000000004,c1cc2c(cc1)c1cc3c(N(=O)=O)c4cc5c(ccc6ccc(N(=O)=O)cc56)cc4cc3cc1cc2
109,3N44_1,6.529311600000001,3.5911758,2.938135800000001,c1cc2c(cc1)cc1c(ccc3c1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c3)c2
110,3N44_10,6.7276725,3.6322629,3.0954096,c1cc2c(cc1)cc1c(c(N(=O)=O)cc3c1ccc(N(=O)=O)c3N(=O)=O)c2
111,3N44_2,7.012017,3.7857273,3.2262897,c1c(N(=O)=O)c2c(cc1N(=O)=O)cc1c(c(N(=O)=O)cc3c1cccc3)c2
112,3N44_3,6.9472572,3.6344397,3.3128175,c1c(N(=O)=O)c2c(cc1)cc1c(c(N(=O)=O)cc3c1ccc(N(=O)=O)c3)c2
113,3N44_4,6.9382779,3.7255932,3.2126847000000005,c1cc2c(cc1N(=O)=O)cc1c(c(N(=O)=O)cc3c1cccc3N(=O)=O)c2
114,3N44_5,6.987527999999999,3.7095393,3.277988699999999,c1cc2c(cc1N(=O)=O)cc1c(cc(N(=O)=O)c3c1cccc3N(=O)=O)c2
115,3N44_6,6.8990955000000005,3.9843603,2.9147352,c1c(N(=O)=O)c2c(c(N(=O)=O)c1)cc1c(ccc3c1ccc(N(=O)=O)c3)c2
116,3N44_7,6.9894327,3.9220494,3.0673833,c1(N(=O)=O)cc2c(c(N(=O)=O)c1)cc1c(ccc3c1ccc(N(=O)=O)c3)c2
117,3N44_8,6.856103700000001,3.9326613,2.923442400000001,c1c(N(=O)=O)c2c(c(N(=O)=O)c1)cc1c(ccc3c1cccc3N(=O)=O)c2
118,3N44_9,7.0212684,3.7343004,3.286968,c1c(N(=O)=O)c2c(cc1)cc1c(cc(N(=O)=O)c3c1ccc(N(=O)=O)c3)c2
119,3N45_1,6.4898571,3.8880369,2.6018202000000006,c1c(N(=O)=O)c2cc3cc4c(cc(N(=O)=O)c(N(=O)=O)c4)cc3cc2cc1
120,3N45_10,6.3763914,3.9138864,2.462505,c1c(N(=O)=O)c2cc3cc4c(ccc(N(=O)=O)c4N(=O)=O)cc3cc2cc1
121,3N45_2,6.413397,3.8703504,2.5430466,c1c(N(=O)=O)c2cc3c(N(=O)=O)c4c(cccc4)c(N(=O)=O)c3cc2cc1
122,3N45_3,6.4065945,3.8847717,2.5218228,c1cc2cc3cc4c(cccc4N(=O)=O)c(N(=O)=O)c3cc2c(N(=O)=O)c1
123,3N45_4,6.3938058,4.0934724,2.3003334,c1cc2cc3cc4c(cc(N(=O)=O)cc4N(=O)=O)c(N(=O)=O)c3cc2cc1
124,3N45_5,6.524685900000001,4.0096656,2.5150203,c1(N(=O)=O)cc2cc3cc4c(cccc4N(=O)=O)cc3c(N(=O)=O)c2cc1
125,3N45_6,6.4827825,3.931845,2.5509375,c1c(N(=O)=O)c2c(N(=O)=O)c3cc4c(cc(N(=O)=O)cc4)cc3cc2cc1
126,3N45_7,6.4572051,3.9938838,2.4633213,c1cc2cc3cc4c(c(N(=O)=O)cc(N(=O)=O)c4)cc3cc2c(N(=O)=O)c1
127,3N45_8,6.2901357,4.0643577,2.225778,c1cc2cc3cc4c(c(N(=O)=O)c(N(=O)=O)cc4N(=O)=O)cc3cc2cc1
128,3N45_9,6.5777454,4.0904793,2.4872661000000007,c1(N(=O)=O)cc2cc3cc4c(cc(N(=O)=O)cc4)cc3c(N(=O)=O)c2cc1
129,3N511_1,6.4234647,3.7718502,2.6516145000000004,c1cc2c(c(N(=O)=O)c1)cc1cc3c(ccc4c3cc(N(=O)=O)cc4)c(N(=O)=O)c1c2
130,3N511_2,6.4120365,3.8159304,2.5961061,c1cc2c(c(N(=O)=O)c1N(=O)=O)cc1cc3c(ccc4c3cccc4)c(N(=O)=O)c1c2
131,3N511_3,6.280068,3.6592008,2.6208672000000006,c1cc2c(c(N(=O)=O)c1)cc1cc3c(ccc4c3cc(N(=O)=O)c(N(=O)=O)c4)cc1c2
132,3N511_4,6.4501305,3.8055906,2.6445399,c1cc2c(cc1N(=O)=O)c(N(=O)=O)c1cc3c(ccc4c3cc(N(=O)=O)cc4)cc1c2
